Academy for Creative Excellence,,38.036611,-84.500305,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0378,buildings,
Administration Annex,GB,38.038551,-84.505439,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0033,buildings,
Administration Building,MAIN,38.03891,-84.504899,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0032,buildings,
Agicultural Engineering,CEBA,38.026778,-84.50963,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0276,buildings,
Agricultural Experiment Station,AES,38.034962,-84.50717,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0064,buildings,
Agricultural Science Center North,AGN,38.028815,-84.509269,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0091,buildings,
Agricultural Science Center South,GARR,38.027956,-84.508805,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0215,buildings,
Agriculture Distribution Center,ADC,38.019936,-84.502008,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0229,buildings,
Agriculture Greenhouse,,38.02031,-84.501818,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0184,buildings,
Agriculture Headhouse,,38.02031,-84.501818,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0184,buildings,
Agriculture Machine Research Lab,,38.02031,-84.501818,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0184,buildings,
Agronomy Headhouse and Greenhouses,,38.033853,-84.506675,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0184,buildings,
Albert B. Chandler Hospital Pavilion A,,38.030042,-84.509192,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0602,buildings,
Albert B. Chandler Hospital Pavilion H,UH,38.030883,-84.507959,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0293,buildings,
Allied Health Building,CTW,38.032036,-84.508612,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0200,buildings,
Alumni Gymnasium,AG,38.040741,-84.503634,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0029,buildings,
Alumni Plaza,,38.038885,-84.501295,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+W001,buildings,
Anderson Hall,FPAT,38.037492,-84.505618,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0046,buildings,
Anderson Hall Quadrangle,AQ,38.037397,-84.505062,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0037,buildings,
Arboretum,,38.01405,-84.504412,http://www2.ca.uky.edu/arboretum/,buildings,
Art Museum,SCFA,38.037758,-84.501121,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0241,buildings,
ASTeCC Building,ASTC,38.036928,-84.505006,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0286,buildings,
Baldwin Hall,BAHA,38.028915,-84.500645,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0566,buildings,
Baptist Student Center,,38.033529,-84.499802,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+A007,buildings,
Barker Hall and Buell Armory,BH,38.039429,-84.504112,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0028,buildings,
Baseball Stadium - Hagan,,38.028101,-84.49899,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0283,buildings,
Basketball Practice Facility,,38.03983,-84.500132,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0604,buildings,
Betts House,GCH2,38.04055,-84.49856,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0344,buildings,
Bingham - Davis House,BDH,38.040793,-84.498908,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0343,buildings,
Biological - Pharmaceutical Building,BPC,38.033573,-84.509356,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0596,buildings,
Biology Building,BS,38.033972,-84.505965,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0225,buildings,
Biomedical/Biological Sciences Research Building,BBSRB,38.034382,-84.509028,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0509,buildings,
BioPharm Complex,BPC,38.033573,-84.509356,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0596,buildings,
Bolivar Building,,38.042542,-84.506675,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0090,buildings,
Bookstore,SCA,38.039417,-84.502886,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0026,buildings,
Boone Center,,38.035315,-84.502836,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0014,buildings,
Boone Tennis Center,,38.026679,-84.502964,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0213,buildings,
Boone Tennis Stadium,,38.026817,-84.50212,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0485,buildings,
Bosomworth Health Sciences Research Building,HSRE,38.030666,-84.506043,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0305,buildings,
Bowman Hall,BOW,38.034744,-84.5053,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0059,buildings,
Boyd Hall,BOYD,38.041114,-84.502564,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0008,buildings,
Bradley Hall,BRAD,38.034701,-84.504829,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0058,buildings,
Breckinridge Hall,BREC,38.03507,-84.505218,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0056,buildings,
Business and Economics Building,BE,38.03779,-84.506445,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0034,buildings,
Career Center,JWST,38.037145,-84.500219,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0494,buildings,
Carol Martin Gatton Business and Economics Building,BE,38.03779,-84.506445,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0034,buildings,
Catholic Newman Center,Newman,38.035865,-84.500431,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+A002,buildings,
Center for Robotics and Manufacturing Systems,RMB,38.037004,-84.505563,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0108,buildings,
Student Center - Center Theater,SC,38.040189,-84.50363,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0030,buildings,
Charles E. Barnhart Building,CEBA,38.026778,-84.50963,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0276,buildings,
Charles T. Wethington Jr. Building,CTW,38.032051,-84.508537,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0200,buildings,
Chemistry-Physics Building,CP,38.035625,-84.504018,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0055,buildings,
Chief Engineer House,ER,38.037135,-84.501159,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0021,buildings,
Child Development Centers of the Bluegrass,CDCB,38.019118,-84.508295,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+9813,buildings,
College Building,MAIN,38.03891,-84.504899,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0032,buildings,
College of Medicine Building,,38.033336,-84.510462,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+9983,buildings,
College of Medicine Learning Center,,38.033231,-84.509971,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0517,buildings,
College of Medicine Office Building,COMB,38.030127,-84.5053,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0086,buildings,
College of Nursing Building,CN,38.032641,-84.507785,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0232,buildings,
College of Pharmacy Building,BPC,38.033179,-84.507103,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0596,buildings,
College of Public Health Building,,38.035571,-84.50705,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0003,buildings,
